7518;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
7519;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
7522;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
22885;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
22884;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
B3269;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
B3271;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
21745;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
7520;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
3529;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
5273;214571;214571;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
042ZJ;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
042ZI;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;3,2188E+13;"01;02;03;04;05;06;07"
042ZK;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
05E5Y;965039;936557;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;3,2188E+13;"01;02;03;04;05;06;07"
06FFH;965039;936557;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;2,81954E+13;"04;05;06;07"
06IYP;545678;545678;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"07;"
03ZY1;75671;75671;FAE;FAE SISTEMAS DE MEDICAO S/A ;7,28141E+12;"01;02;03;04;05;06;07"
B1780;152209;152209;LION ;LION ENERGY SERVIÇOS DE ELETRIFICAÇÃO LTDA;2,03067E+13;"01;02;03;04;05;06;07"
6669;152209;152209;LION ;LOPRESE  LOCAÇÃO E PRESTAÇÃO DE SERVIÇOS DE ELETRIFICAÇÃO LTDA;7,80148E+12;"01;02;03;04;05;06;07"
03PKK;152209;152209;LION ;CONSÓRCIO EM REDE EFICAZ X LION;3,26138E+13;"01;02;03;07"
06NQH;152209;152209;LION ;CONSORCIO REDE;4,47826E+13;"07;"
05Y16;152209;930927;LION;LION ENERGY SERVICOS DE ELETRIFICACAO LTDA;2,03067E+13;"01;02;03;04;05;06;07"
06NQL;152209;152209;LION;CONSORCIO REDE;4,47826E+13;"07;"
0182E;930927;930927;ELLCA;ELLCA 2 SERVIÇOS & LOCAÇOES LTDA ;2,02936E+13;"01;02;03;04;05;06;07"
